ds,y
"2002-01",12.94
"2002-02",12.76
"2002-03",13.04
"2002-04",14.6
"2002-05",14.65
"2002-06",14.49
"2002-07",14.86
"2002-08",15.68
"2002-09",15.63
"2002-10",16
"2002-11",16.12
"2002-12",15.9
"2003-01",15.8
"2003-02",16.64
"2003-03",17.79
"2003-04",17.01
"2003-05",15.92
"2003-06",15.07
"2003-07",15.1
"2003-08",15.54
"2003-09",16.81
"2003-10",16.6
"2003-11",16.28
"2003-12",15.89
"2004-01",16.24
"2004-02",17.49
"2004-03",18.11
"2004-04",18.48
"2004-05",18.89
"2004-06",19.24
"2004-07",19.16
"2004-08",19.04
"2004-09",18.91
"2004-10",19.48
"2004-11",20.31
"2004-12",20.03
"2005-01",19.09
"2005-02",18.6
"2005-03",19.76
"2005-04",21.94
"2005-05",22.48
"2005-06",22.22
"2005-07",22.23
"2005-08",22.89
"2005-09",25.27
"2005-10",27.22
"2005-11",25.95
"2005-12",23.29
"2006-01",22.65
"2006-02",22.35
"2006-03",22.16
"2006-04",24.48
"2006-05",26.85
"2006-06",26.77
"2006-07",26.58
"2006-08",28.12
"2006-09",27.29
"2006-10",24.73
"2006-11",23.18
"2006-12",23.15
"2007-01",22.99
"2007-02",22.04
"2007-03",23.13
"2007-04",25.53
"2007-05",27.59
"2007-06",28.69
"2007-07",28.41
"2007-08",27.91
"2007-09",27.16
"2007-10",27.34
"2007-11",28.24
"2007-12",29.04
"2008-01",28.89
"2008-02",28.71
"2008-03",30.04
"2008-04",31.69
"2008-05",33.12
"2008-06",35.51
"2008-07",36.42
"2008-08",35.78
"2008-09",34.83
"2008-10",31.29
"2008-11",26.29
"2008-12",22.55
"2009-01",21.58
"2009-02",21.35
"2009-03",21.05
"2009-04",21.57
"2009-05",22.81
"2009-06",23.91
"2009-07",26.56
"2009-08",26.58
"2009-09",26.71
"2009-10",26.02
"2009-11",27.73
"2009-12",27.42
"2010-01",28.36
"2010-02",27.99
"2010-03",29.39
"2010-04",30.56
"2010-05",29.84
"2010-06",28.03
"2010-07",27.93
"2010-08",28.13
"2010-09",27.22
"2010-10",28.8
"2010-11",28.96
"2010-12",29.82
"2011-01",30.89
"2011-02",31.86
"2011-03",34.52
"2011-04",35.47
"2011-05",35.61
"2011-06",34.76
"2011-07",34.97
"2011-08",35.14
"2011-09",34.74
"2011-10",34.11
"2011-11",34.56
"2011-12",33.37
"2012-01",33.22
"2012-02",34.8
"2012-03",36.95
"2012-04",37.56
"2012-05",35.85
"2012-06",33.72
"2012-07",34.71
"2012-08",35.28
"2012-09",37.67
"2012-10",36.69
"2012-11",33.88
"2012-12",33.87
"2013-01",33.69
"2013-02",35.44
"2013-03",35.36
"2013-04",34.45
"2013-05",34.6
"2013-06",34.25
"2013-07",35.64
"2013-08",36.33
"2013-09",36.03
"2013-10",34.14
"2013-11",32.96
"2013-12",35.05
"2014-01",34.84
"2014-02",33.93
"2014-03",34.26
"2014-04",35.08
"2014-05",34.7
"2014-06",35.36
"2014-07",35.61
"2014-08",34.03
"2014-09",33.11
"2014-10",31.35
"2014-11",29.38
"2014-12",25.88
"2015-01",21.74
"2015-02",23.25
"2015-03",24.99
"2015-04",25.55
"2015-05",26.86
"2015-06",27.1
"2015-07",27.14
"2015-08",25.2
"2015-09",23.27
"2015-10",22.86
"2015-11",21.97
"2015-12",21.03
"2016-01",20.39
"2016-02",19.38
"2016-03",21.02
"2016-04",22.25
"2016-05",23.1
"2016-06",23.66
"2016-07",22.53
"2016-08",22.34
"2016-09",22.99
"2016-10",23.36
"2016-11",22.68
"2016-12",23.61
"2017-01",24.69
"2017-02",23.88
"2017-03",23.42
"2017-04",24.2
"2017-05",23.64
"2017-06",23.33
"2017-07",23.15
"2017-08",23.73
"2017-09",25.32
"2017-10",24.44
"2017-11",25.37
"2017-12",25.11
"2018-01",25.83
"2018-02",25.78
"2018-03",25.8
"2018-04",27.1
"2018-05",28.29
"2018-06",27.95
"2018-07",27.87
"2018-08",27.95
"2018-09",28.21
"2018-10",28.54
"2018-11",25.87
"2018-12",23.81
"2019-01",23.03
"2019-02",23.87
"2019-03",25.8
"2019-04",27.82
"2019-05",27.88
"2019-06",26.44
"2019-07",27.13
"2019-08",26.07
"2019-09",25.85
"2019-10",25.61
"2019-11",25.54
"2019-12",25.39
"2020-01",25.6
"2020-02",24.51
"2020-03",23.6
"2020-04",18.97
"2020-05",18.74
"2020-06",21.08
"2020-07",22.55
"2020-08",22.33
"2020-09",22.14
"2020-10",22.3
"2020-11",21.21
"2020-12",22.76
"2021-01",23.82
"2021-02",25.53
"2021-03",27.7
"2021-04",28.03
"2021-05",28.8
"2021-06",28.85
"2021-07",29.49
"2021-08",29.91
"2021-09",30.23
"2021-10",31
"2021-11",31.55
"2021-12",29.82
"2022-01",31.41
"2022-02",33.84
"2022-03",39.12
"2022-04",38.83
"2022-05",42.14
"2022-06",41.19
"2022-07",36.41
"2022-08",36.06
"2022-09",35.21
"2022-10",37.33
"2022-11",37.39
"2022-12",34.66
"2023-01",35.12
"2023-02",35.03
"2023-03",34.4
"2023-04",36.33
"2023-05",34.9
"2023-06",34.41
"2023-07",35.35
"2023-08",38.36
"2023-09",38.12
"2023-10",36.61
"2023-11",32.07
"2023-12",30.57
"2024-01",31.59
"2024-02",32.79
"2024-03",34.92
"2024-04",36.21
"2024-05",35.54
